role,projection,dist_from_assistant,cos_to_axis
summarizer,0.6313667297363281,-5.175509452819824,-0.30197811126708984
assistant,-3.4600772857666016,-1.0840654373168945,-0.1258181482553482
validator,-4.092306137084961,-0.45183658599853516,-0.020297929644584656
supervisor,-4.853757858276367,0.3096151351928711,0.011867739260196686
researcher,-5.269037246704102,0.7248945236206055,0.03393232077360153
lawyer,-5.319921493530273,0.7757787704467773,0.0246301107108593
doctor,-5.345180511474609,0.8010377883911133,0.03743983805179596
analyst,-5.657739639282227,1.1135969161987305,0.05423570051789284
consultant,-5.907176971435547,1.3630342483520508,0.07092932611703873
evaluator,-6.373218536376953,1.829075813293457,0.06891472637653351
secretary,-6.390581130981445,1.8464384078979492,0.06999597698450089
reviewer,-6.493154525756836,1.9490118026733398,0.07884389907121658
planner,-6.539592742919922,1.9954500198364258,0.07833877205848694
nutritionist,-6.869434356689453,2.325291633605957,0.07587110996246338
organizer,-6.908653259277344,2.3645105361938477,0.1322031319141388
examiner,-7.194816589355469,2.6506738662719727,0.08887451887130737
scientist,-7.428043365478516,2.8839006423950195,0.12331843376159668
editor,-7.429010391235352,2.8848676681518555,0.13031941652297974
pharmacist,-7.549389839172363,3.005247116088867,0.09865093976259232
instructor,-7.663722991943359,3.1195802688598633,0.1736244559288025
accountant,-7.690896987915039,3.146754264831543,0.10264920443296432
auditor,-7.747528076171875,3.203385353088379,0.09326742589473724
screener,-7.842181205749512,3.2980384826660156,0.10070585459470749
coordinator,-8.017496109008789,3.473353385925293,0.1498393565416336
specialist,-8.23227310180664,3.6881303787231445,0.17899319529533386
grader,-8.728976249694824,4.184833526611328,0.12140017002820969
moderator,-8.797632217407227,4.2534894943237305,0.21845483779907227
generalist,-8.804559707641602,4.2604169845581055,0.22162526845932007
economist,-8.864209175109863,4.320066452026367,0.12829571962356567
teacher,-8.896942138671875,4.352799415588379,0.2958982586860657
judge,-9.430649757385254,4.886507034301758,0.19686295092105865
psychologist,-9.446255683898926,4.90211296081543,0.18364253640174866
translator,-9.474393844604492,4.930251121520996,0.11917482316493988
observer,-9.501272201538086,4.95712947845459,0.222601979970932
facilitator,-9.561874389648438,5.017731666564941,0.2218988686800003
student,-9.751320838928223,5.207178115844727,0.26601657271385193
tutor,-9.862104415893555,5.317961692810059,0.304355651140213
scholar,-9.863714218139648,5.319571495056152,0.21459075808525085
librarian,-10.287851333618164,5.743708610534668,0.2841338515281677
scheduler,-10.408180236816406,5.86403751373291,0.20632806420326233
collaborator,-10.415446281433105,5.871303558349609,0.35536447167396545
ambassador,-10.515799522399902,5.971656799316406,0.2890212833881378
dispatcher,-10.623371124267578,6.079228401184082,0.24840299785137177
pragmatist,-10.632832527160645,6.088689804077148,0.3334495425224304
statistician,-10.795249938964844,6.251107215881348,0.18570974469184875
strategist,-10.948445320129395,6.404302597045898,0.2566540241241455
sociologist,-11.038508415222168,6.494365692138672,0.20120984315872192
trainer,-11.20114517211914,6.6570024490356445,0.2960105836391449
mediator,-11.38227367401123,6.838130950927734,0.32220327854156494
forecaster,-11.467435836791992,6.923293113708496,0.25754743814468384
publisher,-11.536808967590332,6.992666244506836,0.2966349124908447
recruiter,-11.553165435791016,7.0090227127075195,0.2823980450630188
engineer,-11.576850891113281,7.032708168029785,0.25351274013519287
journalist,-11.658503532409668,7.114360809326172,0.35384058952331543
proofreader,-11.67780876159668,7.133666038513184,0.145523801445961
veterinarian,-11.685891151428223,7.141748428344727,0.24444490671157837
debugger,-11.777335166931152,7.233192443847656,0.24813993275165558
reporter,-11.881202697753906,7.33705997467041,0.37202730774879456
robot,-12.335840225219727,7.7916975021362305,0.23346833884716034
mentor,-12.535553932189941,7.991411209106445,0.43647584319114685
coach,-12.68671989440918,8.142577171325684,0.3919910788536072
interpreter,-12.849373817443848,8.305231094360352,0.5358033776283264
paramedic,-12.885581970214844,8.341439247131348,0.29336291551589966
peacekeeper,-13.122954368591309,8.578811645507812,0.3659994602203369
marketer,-13.1882905960083,8.644147872924805,0.29200494289398193
realist,-13.208152770996094,8.664010047912598,0.4363793134689331
negotiator,-13.406400680541992,8.862257957458496,0.3850567638874054
interviewer,-13.692707061767578,9.148564338684082,0.29652416706085205
synthesizer,-13.839271545410156,9.29512882232666,0.5380668044090271
skeptic,-14.151925086975098,9.607782363891602,0.31888312101364136
geographer,-14.167516708374023,9.623373985290527,0.25098949670791626
therapist,-14.585598945617676,10.04145622253418,0.32920926809310913
polymath,-14.662302017211914,10.118159294128418,0.3960561156272888
presenter,-14.713089942932129,10.168947219848633,0.610010027885437
historian,-14.883934020996094,10.339791297912598,0.31527647376060486
counselor,-14.886171340942383,10.342028617858887,0.3559984862804413
biologist,-14.896737098693848,10.352594375610352,0.30827414989471436
producer,-15.258939743041992,10.714797019958496,0.4264621138572693
vegan,-15.268654823303223,10.724512100219727,0.30371105670928955
networker,-15.443827629089355,10.89968490600586,0.4559929370880127
technologist,-16.068336486816406,11.52419376373291,0.4270550012588501
pilot,-16.260610580444336,11.71646785736084,0.345757395029068
architect,-16.287822723388672,11.743680000305176,0.37167081236839294
linguist,-16.481706619262695,11.9375638961792,0.31502091884613037
anthropologist,-16.889022827148438,12.344880104064941,0.326514333486557
programmer,-17.127655029296875,12.583512306213379,0.4073732793331146
emissary,-17.12950897216797,12.585366249084473,0.5283425450325012
archivist,-17.169998168945312,12.625855445861816,0.42540985345840454
altruist,-17.35013198852539,12.805989265441895,0.4806306064128876
caregiver,-17.355615615844727,12.81147289276123,0.4564121961593628
theorist,-17.419490814208984,12.875348091125488,0.39353206753730774
advocate,-17.579166412353516,13.03502368927002,0.6127729415893555
parent,-17.60784149169922,13.063698768615723,0.45356422662734985
guide,-17.618404388427734,13.074261665344238,0.7705538868904114
expatriate,-17.621395111083984,13.077252388000488,0.5160348415374756
pacifist,-17.68519401550293,13.141051292419434,0.3827681541442871
futurist,-17.84313201904297,13.298989295959473,0.40255409479141235
chemist,-18.015010833740234,13.470868110656738,0.37551939487457275
critic,-18.27789878845215,13.733756065368652,0.50529545545578
designer,-18.739442825317383,14.195300102233887,0.49218180775642395
graduate,-18.826007843017578,14.281865119934082,0.5082686543464661
activist,-19.13608169555664,14.591938972473145,0.43983832001686096
amateur,-19.252370834350586,14.70822811126709,0.4614003300666809
curator,-19.346492767333984,14.802350044250488,0.653583288192749
patient,-19.372535705566406,14.82839298248291,0.4456210732460022
detective,-19.558311462402344,15.014168739318848,0.6170203685760498
optimist,-19.7265625,15.182419776916504,0.5043866038322449
